GPA,Study_Hours,Preferred_Subject,Learning_Style,Career_Aspiration,Interest_Area,Interest_in_Subjects,Recommended_Course,Study_Habits
3.31,40,History,Visual,Entrepreneur,Arts,High,Education,Consistent
2.27,14,Art,Visual,Engineer,Finance,Low,Graphic Design,Last-Minute
2.94,27,History,Visual,Engineer,Education,Low,Medicine,Organized
3.02,35,Business,Auditory,Artist,Health,Medium,Finance,Irregular
1.37,32,Math,Reading/Writing,Doctor,Health,Medium,Finance,Irregular
2.2,9,Math,Kinesthetic,Entrepreneur,Education,Low,Medicine,Consistent
3.37,33,History,Visual,Doctor,Education,High,Education,Last-Minute
2.46,29,Business,Reading/Writing,Engineer,Health,Medium,Finance,Needs Improvement
3.0,40,History,Kinesthetic,Doctor,Arts,Medium,Finance,Last-Minute
2.32,7,Science,Auditory,Scientist,Finance,Low,Graphic Design,Last-Minute
2.12,18,Art,Reading/Writing,Doctor,Finance,Medium,Education,Needs Improvement
1.07,38,Art,Visual,Doctor,Technology,Low,Data Science,Consistent
1.41,10,Math,Auditory,Doctor,Health,Low,Data Science,Consistent
2.42,7,Art,Reading/Writing,Doctor,Arts,Medium,Data Science,Organized
3.12,14,Art,Reading/Writing,Engineer,Technology,High,Education,Last-Minute
1.84,9,Science,Visual,Entrepreneur,Arts,High,Graphic Design,Consistent
2.62,6,Science,Visual,Entrepreneur,Technology,Medium,Data Science,Irregular
3.17,16,Science,Kinesthetic,Doctor,Health,Low,Data Science,Last-Minute
3.77,29,Math,Auditory,Artist,Health,Medium,Finance,Needs Improvement
2.78,24,Math,Auditory,Engineer,Education,Low,Finance,Needs Improvement
3.12,25,Art,Auditory,Artist,Technology,Medium,Finance,Irregular
2.63,6,Science,Reading/Writing,Scientist,Finance,High,Education,Needs Improvement
1.55,12,Science,Auditory,Artist,Technology,Medium,Graphic Design,Consistent
1.77,31,Science,Reading/Writing,Engineer,Education,Low,Graphic Design,Needs Improvement
3.41,22,Art,Reading/Writing,Doctor,Arts,Low,Graphic Design,Organized
2.86,30,History,Kinesthetic,Artist,Arts,High,Medicine,Organized
1.72,39,Business,Auditory,Engineer,Education,Low,Data Science,Irregular
2.79,32,Business,Auditory,Engineer,Education,Low,Data Science,Needs Improvement
2.37,33,Business,Reading/Writing,Doctor,Finance,Medium,Finance,Irregular
2.86,17,Math,Visual,Doctor,Education,Medium,Medicine,Needs Improvement
1.14,9,History,Kinesthetic,Entrepreneur,Health,High,Graphic Design,Consistent
